Address,Theatre,2026,Ever?,Show(s) seen:,Current Show:,Coming Soon?,Multiples
302 West 45th Street,Al Hirschfeld Theatre,FALSE,TRUE,Moulin Rouge!,EMPTY,"Paddington The Musical (March 29, 2027)",
219 West 49th Street,Ambassador Theatre,FALSE,FALSE,,Chicago,,
245 West 52nd Street,August Wilson Theatre,TRUE,TRUE,"Mean Girls, Funny Girl, Paranormal Activity",Paranormal Activity,,
111 West 44th Street,Belasco Theatre,FALSE,TRUE,Girl from the North Country,Maybe Happy Ending,,
242 West 45th Street,Bernard B. Jacobs Theatre,TRUE,TRUE,"Company, The Outsiders",The Outsiders,,The Outsiders (x2)
222 West 45th Street,Booth Theatre,FALSE,TRUE,Kimberly Akimbo,EMPTY,"Downstate (October 16, 2026)",
235 West 44th Street,Broadhurst Theatre,FALSE,FALSE,,EMPTY,,
1681 Broadway,Broadway Theatre,TRUE,TRUE,"Shrek the Musical, The Great Gatsby",The Great Gatsby,,
235 West 50th Street,Circle in the Square Theatre,FALSE,TRUE,Oklahoma!,Just in Time,,
243 West 47th Street,Ethel Barrymore Theatre,FALSE,TRUE,The Band's Visit,EMPTY,"Here There Are Blueberries (November 1, 2026), Small Mouth Sounds (February 17, 2027)",
230 West 49th Street,Eugene O'Neill Theatre,FALSE,TRUE,The Book of Mormon,The Book of Mormon,,The Book of Mormon (x2)
236 West 45th Street,Gerald Schoenfeld Theatre,FALSE,TRUE,Come From Away,Buena Vista Social Club,,
222 West 51st Street,Gershwin Theatre,FALSE,TRUE,Wicked,Wicked,,Wicked (x?)
240 West 44th Street,Helen Hayes Theater,FALSE,TRUE,"Xanadu, Grand Horizons",EMPTY,,
141 West 44th Street,Hudson Theatre,TRUE,TRUE,"A Doll's House, Every Brillant Thing",EMPTY,"Other Desert Cities (September 28, 2026)",
249 West 45th Street,Imperial Theatre,FALSE,TRUE,Chess,EMPTY,"860 (September 30, 2026)",
138 West 48th Street,James Earl Jones Theatre,FALSE,TRUE,"Ohio State Murders, Waiting for Godot (Cort Theatre)",EMPTY,"Wanted (October 14, 2026)",
252 West 45th Street,John Golden Theatre,TRUE,TRUE,"Prima Facie, Operation Mincement",Operation Mincemeat,,Prima Facie (x2)
256 West 47th Street,Lena Horne Theatre,FALSE,TRUE,Six (Brooks Atkinson),SIX: The Musical,,
220 West 48th Street,Longacre Theatre,TRUE,TRUE,"The Prom, Two Strangers (Carry a Cake Across New York)",Two Strangers (Carry a Cake Across New York),,
205 West 46th Street,Lunt-Fontanne Theatre,FALSE,TRUE,Finding Neverland,EMPTY,,
149 West 45th Street,Lyceum Theatre,FALSE,TRUE,Grey House,"Oh, Mary!",,
214 West 43rd Street,Lyric Theatre,FALSE,TRUE,Harry Potter and the Cursed Child,Harry Potter and the Cursed Child,,Harry Potter and the Cursed Child (x2)
245 West 44th Street,Majestic Theatre,FALSE,FALSE,,EMPTY,"Purple Rain (March 11, 2027)",
1535 Broadway,Marquis Theatre,TRUE,TRUE,"Tootsie, Beetlejuice",Stranger Things: The First Shadow,,
200 West 45th Street,Minskoff Theatre,FALSE,TRUE,The Lion King,The Lion King,,
239 West 45th Street,Music Box Theatre,FALSE,TRUE,Dear Evan Hansen,EMPTY,"Inter Alia (November 9, 2026), Mulaney Takes Manhattan ()",
208 West 41st Street,Nederlander Theatre,FALSE,TRUE,Rent,Schmigadoon!,,
250 West 52nd Street,Neil Simon Theatre,FALSE,TRUE,The Cher Show,MJ The Musical,,
214 West 42nd Street,New Amsterdam Theatre,FALSE,TRUE,The Lion King,Aladdin,,
160 West 47th Street,Palace Theatre,TRUE,TRUE,"Legally Blonde, An American in Paris, SpongeBob SquarePants",The Lost Boys,,Legally Blonde (x2)
226 West 46th Street,Richard Rodgers Theatre,FALSE,TRUE,"Tarzan, If/Then, Hamilton",Hamilton,"Rent (October 25, 2026)",Hamilton (x2)
261 West 47th Street,Samuel J. Friedman Theatre,FALSE,TRUE,"My Name is Lucy Barton, Summer, 1976","School Girls; Or, The African Mean Girls Play","Awake and Sing! (December 14, 2026)",
225 West 44th Street,Sam S. Shubert Theatre,FALSE,TRUE,"To Kill a Mockingbird, Some Like it Hot",EMPTY,"Galileo (November 9, 2026)",
246 West 44th Street,St. James Theatre,TRUE,TRUE,"Frozen, Titanique",Titaníque,"Dolly: A True Original Musical (December 6, 2026)",Titanique (x2)
124 West 43rd Street,Stephen Sondheim Theatre,FALSE,TRUE,& Juliet,& Juliet,,
254 West 54th Street,Studio 54,FALSE,TRUE,The Sound Inside,The Rocky Horror Show,,
227 West 42nd Street,Todd Haimes Theatre,FALSE,TRUE,"Birthday Candles, The Imaginary Invalid",EMPTY,"The Imaginary Invalid (September 24, 2026), Mix and Master (January 4, 2027), The Full Monty (April 2, 2027)",
150 West 65th Street,Vivian Beaumont Theater,FALSE,TRUE,"Flying Over Sunset, Camelot, A Few Good Men",EMPTY,"A Few Good Men (October 7, 2026), The Sound of Music (March 22, 2027)",
219 West 48th Street,Walter Kerr Theatre,FALSE,TRUE,Hadestown,Hadestown,,Hadestown (x4)
1634 Broadway,Winter Garden Theatre,FALSE,TRUE,"Mamma Mia, Beetlejuice",EMPTY,"Much Ado About Nothing (October 30, 2026), Evita (February 26, 2027)",
,Total:,9,38,,,,
